1,8,Elizabeth Warren,5,medium crate,crates,paypal,6,76.5,2024-02-24 12:05:16,United States,Los Angeles,onpdg.com,6142914380,True,
2,39,Charles Darwin,4,small bed,bed,apple_pay,7,58.3,2024-01-09 02:51:39,United States,Santa Ana,amazon.com,4279165674,True,
3,30,Emma Goldman,6,large bed,bed,paypal,8,82.12,2024-02-19 15:50:29,United States,Portland,amazon.com,1138412931,True,
4,16,Simone de Beauvoir,5,medium crate,crates,credit_card,12,76.5,2024-02-09 07:35:09,United States,Pocatello,petsmart.com,9246749642,True,
5,23,Slavoj Zizek,6,large bed,bed,google_pay,6,82.12,2024-01-20 12:38:44,United States,Tulsa,onpdg.com,5098667098,True,
6,37,Slavoj Zizek,5,medium crate,crates,credit_card,14,76.5,2024-02-18 23:58:56,Canada,Toronto,onpdg.com,9308168264,True,
7,6,Jean-Paul Sartre,3,stuffed animal,toy,paypal,15,12.01,2024-01-07 00:44:11,United States,Flagstaff,chewy.com,8376360892,True,
8,12,Harry Wallace,5,medium bed,bed,paypal,12,51.93,2024-01-30 06:09:09,United States,San Diego,petsmart.com,2723208819,True,
9,33,Noam Chomsky,4,small crate,crates,google_pay,9,92.76,2024-01-20 06:02:55,United States,Tampa,onpdg.com,1462227026,True,
10,24,Jean-Paul Sartre,46284y924,large crate,crates,credit_card,0,136.39,2024-01-14 09:57:27,Mexico,Puerto Vallarta,onpdg.com,5832537748,True,
11,20,Rosa Luxemburg,6,large dog,food,apple_pay,4,30.93,2024-02-05 07:26:02,United States,Carson City,chewy.com,7922097458,True,
12,38,Plato,10,vaccines,meds,apple_pay,14,48.81,2024-01-22 22:33:28,United States,Pocatello,petsmart.com,2899872727,True,
13,19,Louis Pasteur,2,rope,toy,google_pay,10,12.6,2024-01-13 04:59:04,United States,Las Vegas,amazon.com,4814445786,True,
14,25,Bill Clinton,5,medium crate,crates,paypal,2,76.5,2024-01-04 21:19:58,United States,Flagstaff,onpdg.com,5790453971,True,
15,36,Simone de Beauvoir,8,diet pills,meds,paypal,0,58.49,2024-01-25 16:07:03,United States,San Antonio,chewy.com,8002928052,True,
16,38,Plato,4,small crate,crates,google_pay,13,92.76,2024-01-30 11:48:07,United States,Pocatello,amazon.com,1695767010,True,
17,45,Greta Thunberg,9,anti viral,meds,credit_card,2,43.91,2024-02-01 06:19:37,Mexico,Guadalajara,chewy.com,4796899523,True,
18,42,Gilles Deleuze,1,chew toy,toy,apple_pay,8,10.25,2024-02-18 21:54:07,United States,St. George,chewy.com,8979187612,True,
19,26,Marie Curie,4,small bed,bed,google_pay,0,58.3,2024-02-08 19:37:16,United States,Seattle,petsmart.com,1108687731,True,
20,2,Judith Butler,6,large dog,food,google_pay,4,30.93,2024-01-13 05:14:16,Canada,Toronto,chewy.com,6195510179,True,
21,28,Henry Kissinger,5,medium dog,food,google_pay,6,46.81,2024-01-06 01:32:49,United States,Flagstaff,petsmart.com,2017566082,True,
22,43,Henry Kissinger,8,diet pills,meds,paypal,1,58.49,2024-02-02 14:21:12,United States,Portland,chewy.com,5081442490,True,
23,42,Gilles Deleuze,4,small crate,crates,google_pay,1,92.76,2024-01-25 03:58:59,United States,St. George,amazon.com,4946035311,True,
24,24,Jean-Paul Sartre,4,small crate,crates,google_pay,15,92.76,2024-02-11 23:03:31,Mexico,Puerto Vallarta,onpdg.com,3897494284,True,
25,43,Henry Kissinger,8,diet pills,meds,paypal,11,58.49,2024-01-31 12:07:27,United States,Portland,amazon.com,2895306559,True,
26,14,Emma Goldman,6,large crate,crates,credit_card,10,136.39,2024-02-05 03:49:02,Mexico,Puerto Vallarta,onpdg.com,6906329898,True,
27,31,Henry Kissinger,2,rope,toy,apple_pay,3,12.6,2024-01-18 10:18:45,United States,San Francisco,chewy.com,4090195550,True,
28,43,Henry Kissinger,5,medium crate,crates,paypal,11,76.5,2024-02-17 13:43:03,United States,Portland,onpdg.com,2820191764,True,
29,19,Louis Pasteur,15,medium leash,leash,google_pay,9,27.27,2024-02-06 19:24:49,United States,Las Vegas,onpdg.com,3696998789,True,
30,8,Elizabeth Warren,8,diet pills,meds,credit_card,13,58.49,2024-02-07 06:58:25,United States,Los Angeles,amazon.com,2179264123,True,
31,9,Aristotle,6,large bed,bed,credit_card,6,82.12,2024-02-27 11:54:51,United States,Twin Falls,petsmart.com,3570945554,True,
32,12,Harry Wallace,16,long leash,leash,credit_card,6,19.42,2024-02-08 09:55:25,United States,San Diego,onpdg.com,7535173644,True,
33,2,Judith Butler,6,large crate,crates,credit_card,13,136.39,2024-02-09 18:00:06,Canada,Toronto,onpdg.com,3706474008,True,
34,43,Henry Kissinger,6,large bed,bed,apple_pay,2,82.12,2024-02-04 10:12:02,United States,Portland,amazon.com,6161617342,True,
35,49,Ronald Reagan,16,long leash,leash,google_pay,13,19.42,2024-02-20 20:54:46,United States,Ogden,onpdg.com,5466667977,True,
36,34,Slavoj Zizek,5,medium crate,crates,google_pay,11,76.5,2024-02-23 13:44:08,United States,Los Angeles,onpdg.com,6002170873,True,
37,15,Socrates,5,medium bed,bed,credit_card,3,51.93,2024-01-17 22:05:32,United States,Las Vegas,amazon.com,8893715651,True,
38,34,Slavoj Zizek,6,large dog,food,credit_card,0,30.93,2024-01-21 05:47:24,United States,Los Angeles,chewy.com,5659327760,True,
39,50,Harry Wallace,7,antibiotics,meds,apple_pay,9,21.85,2024-01-09 07:28:15,United States,St. George,petsmart.com,6152037863,True,
40,36,Simone de Beauvoir,8,diet pills,meds,paypal,15,58.49,2024-01-31 01:34:55,United States,San Antonio,chewy.com,4688468609,True,
